"x","y","Crash.Severity","Physical.Juris.Name","Crash.Military.Time","Persons.Injured","K_People","Pedestrians.Injured","Pedestrians.Killed","Vehicle.Count","Collision.Type","Weather.Condition","Light.Condition","Roadway.Surface.Condition","Roadway.Defect","Roadway.Description","Intersection.Type","Alcohol.","Unrestrained.","Distracted.","RTE.Name","Crash.Date"
-78.484272558,38.0331453920001,"B","104. City of Charlottesville",147,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","Yes","R-VA   US00250EBBUS001","4/12/2015 4:00:00 AM"
-78.475003169,38.042480063,"B","104. City of Charlottesville",1955,2,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR MCINTIRE RD","12/15/2015 5:00:00 AM"
-78.465137609,38.0428409790001,"O","104. City of Charlottesville",1515,0,0,0,0,2,"5. Sideswipe - Opposite Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","S-VA104NP NORTH AVE","5/9/2015 4:00:00 AM"
-78.4728012369999,38.045533554,"B","104. City of Charlottesville",1534,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR JOHN W WARNER PKWY","8/19/2015 4:00:00 AM"
-78.476986032,38.028809648,"O","104. City of Charlottesville",1741,0,0,0,0,1,"9. Fixed Object - Off Road","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104NP E WATER ST","5/22/2015 4:00:00 AM"
-78.470319387,38.043710601,"O","104. City of Charlottesville",1441,0,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","Yes","S-VA104PR PARK ST","4/28/2015 4:00:00 AM"
-78.489013304,38.0567898530001,"B","104. City of Charlottesville",905,2,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","No","S-VA104PR HYDRAULIC RD","1/19/2015 5:00:00 AM"
-78.477747702,38.026516816,"C","104. City of Charlottesville",1510,1,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","No","R-VA   SR00020NB","7/28/2015 4:00:00 AM"
-78.500718332,38.0350432430001,"O","104. City of Charlottesville",1529,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00250EBBUS001","11/15/2015 5:00:00 AM"
-78.502593888,38.0121078330001,"B","104. City of Charlottesville",1933,6,0,0,0,2,"5. Sideswipe - Opposite Direction","5. Rain","4. Darkness - Road Lighted","2. Wet","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Unbelted","No","S-VA104NP 5TH ST SW","12/26/2015 5:00:00 AM"
-78.495386856,38.057115783,"O","104. City of Charlottesville",1112,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","2. Two Approaches","No","Belted","Yes","R-VA   US00029NBBUS008","1/17/2015 5:00:00 AM"
-78.479352462,38.0371720460001,"C","104. City of Charlottesville",1455,2,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","S-VA104NP MCINTIRE RD","2/15/2015 5:00:00 AM"
-78.479565142,38.0276236460001,"O","104. City of Charlottesville",1356,0,0,0,0,3,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","Yes","S-VA104PR GARRETT ST","11/20/2015 5:00:00 AM"
-78.497755346,38.054256675,"B","104. City of Charlottesville",1821,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00029NBBUS008","2/20/2015 5:00:00 AM"
-78.4902035229999,38.025006375,"B","104. City of Charlottesville",1752,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","S-VA104NP 5TH ST SW","12/21/2015 5:00:00 AM"
-78.517140984,38.025921098,"O","104. City of Charlottesville",748,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   US00029NBBUS008","2/13/2015 5:00:00 AM"
-78.5041436939999,38.0569783230001,"B","104. City of Charlottesville",1143,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","5. Loose Material","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00250EB","12/21/2015 5:00:00 AM"
-78.5019187349999,38.0413908740001,"O","104. City of Charlottesville",59,0,0,0,0,6,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","Yes","Belted","Yes","S-VA104PR UNIVERSITY WAY","2/28/2015 5:00:00 AM"
-78.4806195639999,38.0313651010001,"O","104. City of Charlottesville",2025,0,0,0,0,2,"4. Sideswipe - Same Direction","5. Rain","4. Darkness - Road Lighted","2. Wet","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   US00250EBBUS001","4/25/2015 4:00:00 AM"
-78.4667666029999,38.067652158,"A","104. City of Charlottesville",1830,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","5. Darkness - Road Not Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","R-VA002SC00631SB","1/31/2015 5:00:00 AM"
-78.4617492689999,38.0386902970001,"O","104. City of Charlottesville",229,0,0,0,0,3,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","Yes","S-VA104PR BELLEVIEW AVE","1/7/2015 5:00:00 AM"
-78.4924736419999,38.0607345000001,"O","104. City of Charlottesville",2015,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","1. Not at Intersection","No","Belted","No","R-VA   US00029NB","1/13/2015 5:00:00 AM"
-78.485373226,38.0305261760001,"C","104. City of Charlottesville",1715,1,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","R-VA   US00250EBBUS001","1/20/2015 5:00:00 AM"
-78.4996273579999,38.0340380110001,"O","104. City of Charlottesville",839,0,0,0,0,1,"9. Fixed Object - Off Road","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","No","R-VA   US00250EBBUS001","7/2/2015 4:00:00 AM"
-78.500151896,38.032555583,"O","104. City of Charlottesville",929,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","Yes","S-VA104PR JEFFERSON PARK AVE","10/19/2015 4:00:00 AM"
-78.47736746,38.0271985890001,"O","104. City of Charlottesville",1035,0,0,0,0,2,"1. Rear End","5. Rain","2. Daylight","2. Wet","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","3. Three Approaches","No","Belted","No","R-VA   SR00020NB","9/29/2015 4:00:00 AM"
-78.4887892739999,38.056738986,"O","104. City of Charlottesville",1240,0,0,0,0,2,"1. Rear End","5. Rain","2. Daylight","2. Wet","7. Slick Pavement","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   US00250WB","1/24/2015 5:00:00 AM"
-78.493141005,38.0464593020001,"B","104. City of Charlottesville",1320,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","No","S-VA104PR RUGBY RD","9/17/2015 4:00:00 AM"
-78.4861708569999,38.019729109,"O","104. City of Charlottesville",330,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR ROCKLAND AVE","7/25/2015 4:00:00 AM"
-78.478302954,38.0239556340001,"O","104. City of Charlottesville",1054,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   SR00020NB","9/22/2015 4:00:00 AM"
-78.478069273,38.0259043660001,"O","104. City of Charlottesville",1145,0,0,0,0,2,"2. Angle","5. Rain","2. Daylight","2. Wet","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","No","S-VA104PR HINTON AVE","11/30/2015 5:00:00 AM"
-78.4844145119999,38.017145466,"O","104. City of Charlottesville",29,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","Yes","Belted","No","S-VA104NP AVON ST","11/28/2015 5:00:00 AM"
-78.484708043,38.0227783330001,"O","104. City of Charlottesville",1028,0,0,0,0,2,"1. Rear End","5. Rain","2. Daylight","2. Wet","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","Yes","S-VA104PR ELLIOTT AVE","11/10/2015 5:00:00 AM"
-78.492413573,38.0612859330001,"B","104. City of Charlottesville",1806,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00029SB","10/15/2015 4:00:00 AM"
-78.50542791,38.0434032800001,"O","104. City of Charlottesville",1313,0,0,0,0,3,"15. Backed Into","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","Yes","R-VA   US00029SBBUS008","1/5/2015 5:00:00 AM"
-78.470166895,38.030436674,"B","104. City of Charlottesville",823,2,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","2. Two Approaches","No","Belted","No","S-VA104PR LITTLE HIGH ST","12/15/2015 5:00:00 AM"
-78.480660873,38.0251202370001,"B","104. City of Charlottesville",215,2,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","Yes","Belted","No","S-VA104PR MONTICELLO AVE","11/17/2015 5:00:00 AM"
-78.477455489,38.0289050970001,"B","104. City of Charlottesville",1623,1,0,1,0,1,"12. Ped","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104NP E WATER ST","4/7/2015 4:00:00 AM"
-78.487832796,38.0366304890001,"O","104. City of Charlottesville",1456,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","Yes","R-VA   US00250PABUS001","6/26/2015 4:00:00 AM"
-78.4958137529999,38.0573680110001,"O","104. City of Charlottesville",1108,0,0,0,0,1,"9. Fixed Object - Off Road","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","R-VA   US00029NB","8/24/2015 4:00:00 AM"
-78.4712363639999,38.039845852,"O","104. City of Charlottesville",1503,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","S-VA104UK PARK  ST RMP001.00A","5/29/2015 4:00:00 AM"
-78.492413573,38.0612859330001,"O","104. City of Charlottesville",1534,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","1. Not at Intersection","No","Belted","No","R-VA   US00029SB","12/6/2015 5:00:00 AM"
-78.49871089,38.0577960420001,"B","104. City of Charlottesville",811,1,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","2. Two Approaches","No","Belted","No","R-VA   US00250WB","8/3/2015 4:00:00 AM"
-78.494940051,38.0294680470001,"O","104. City of Charlottesville",1140,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","4. Under Repair","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","No","S-VA104PR KING ST","11/12/2015 5:00:00 AM"
-78.4988807139999,38.057811481,"O","104. City of Charlottesville",1159,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","9. Other","3. Two-Way, Divided, Positive Median Barrier","1. Not at Intersection","No","Belted","No","R-VA   US00250WB","10/16/2015 4:00:00 AM"
-78.4737261829999,38.0314318960001,"O","104. City of Charlottesville",1346,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","R-VA   US00250WBBUS001","7/6/2015 4:00:00 AM"
-78.494996231,38.065300807,"O","104. City of Charlottesville",1827,0,0,0,0,2,"2. Angle","5. Rain","5. Darkness - Road Not Lighted","2. Wet","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","No","R-VA002SC00743NB","11/30/2015 5:00:00 AM"
-78.500871724,38.0541000790001,"B","104. City of Charlottesville",1844,1,0,0,0,3,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","S-VA104NP MILLMONT ST","6/6/2015 4:00:00 AM"
-78.467080975,38.0389488820001,"O","104. City of Charlottesville",953,0,0,0,0,2,"1. Rear End","5. Rain","2. Daylight","2. Wet","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00250WB","8/19/2015 4:00:00 AM"
-78.46030796,38.0380807940001,"O","104. City of Charlottesville",2231,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","5. Darkness - Road Not Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","Yes","S-VA104PR BELLEVIEW AVE","5/10/2015 4:00:00 AM"
