"MM_YYYY","Physical.Juris.Name","K_people_sum","Persons_Injured_sum","Pedestrians_Killed_sum","Pedestrians_Injured_sum"
"01-2015","000. Arlington County",1,72,0,17
"01-2015","001. Accomack County",0,19,0,0
"01-2015","002. Albemarle County",0,45,0,2
"01-2015","003. Alleghany County",0,10,0,0
"01-2015","004. Amelia County",0,10,0,0
"01-2015","005. Amherst County",0,13,0,0
"01-2015","006. Appomattox County",0,6,0,0
"01-2015","007. Augusta County",0,39,0,0
"01-2015","008. Bath County",0,4,0,0
"01-2015","009. Bedford County",0,40,0,0
"01-2015","010. Bland County",0,5,0,0
"01-2015","011. Botetourt County",0,16,0,0
"01-2015","012. Brunswick County",1,15,0,0
"01-2015","013. Buchanan County",0,7,0,0
"01-2015","014. Buckingham County",0,7,0,2
"01-2015","015. Campbell County",0,26,0,1
"01-2015","016. Caroline County",0,17,0,0
"01-2015","017. Carroll County",1,20,0,0
"01-2015","018. Charles City County",1,1,0,0
"01-2015","019. Charlotte County",1,6,0,0
"01-2015","020. Chesterfield County",1,201,0,1
"01-2015","021. Clarke County",0,12,0,0
"01-2015","022. Craig County",0,0,0,0
"01-2015","023. Culpeper County",0,43,0,1
"01-2015","024. Cumberland County",0,5,0,0
"01-2015","025. Dickenson County",0,4,0,0
"01-2015","026. Dinwiddie County",2,12,0,0
"01-2015","028. Essex County",0,5,0,0
"01-2015","029. Fairfax County",2,507,1,17
"01-2015","030. Fauquier County",1,28,0,0
"01-2015","031. Floyd County",0,14,0,0
"01-2015","032. Fluvanna County",0,4,0,0
"01-2015","033. Franklin County",0,27,0,1
"01-2015","034. Frederick County",1,29,0,0
"01-2015","035. Giles County",0,1,0,0
"01-2015","036. Gloucester County",0,18,0,0
"01-2015","037. Goochland County",0,14,0,0
"01-2015","038. Grayson County",0,7,0,0
"01-2015","039. Greene County",1,6,1,0
"01-2015","040. Greensville County",0,16,0,0
"01-2015","041. Halifax County",2,11,0,0
"01-2015","042. Hanover County",0,48,0,0
"01-2015","043. Henrico County",2,291,0,6
"01-2015","044. Henry County",0,17,0,1
"01-2015","045. Highland County",0,3,0,0
"01-2015","046. Isle of Wight County",0,11,0,0
"01-2015","047. James City County",0,21,0,0
"01-2015","048. King George County",0,13,0,0
"01-2015","049. King & Queen County",1,3,0,0
"01-2015","050. King William County",0,11,0,0
"01-2015","051. Lancaster County",0,0,0,0
"01-2015","052. Lee County",0,5,0,0
"01-2015","053. Loudoun County",0,164,0,3
"01-2015","054. Louisa County",1,15,0,0
"01-2015","055. Lunenburg County",0,2,0,0
"01-2015","056. Madison County",0,10,0,0
"01-2015","057. Mathews County",0,8,0,0
"01-2015","058. Mecklenburg County",1,14,0,0
"01-2015","059. Middlesex County",0,5,0,0
"01-2015","060. Montgomery County",1,22,0,0
"01-2015","062. Nelson County",0,6,0,0
"01-2015","063. New Kent County",0,6,0,0
"01-2015","065. Northampton County",0,5,0,0
"01-2015","066. Northumberland County",0,5,0,0
"01-2015","067. Nottoway County",0,4,0,0
"01-2015","068. Orange County",0,11,0,0
"01-2015","069. Page County",0,6,0,0
"01-2015","070. Patrick County",0,4,0,0
"01-2015","071. Pittsylvania County",2,42,0,0
"01-2015","072. Powhatan County",0,1,0,0
"01-2015","073. Prince Edward County",0,7,0,1
"01-2015","074. Prince George County",0,11,0,0
"01-2015","076. Prince William County",0,167,0,2
"01-2015","077. Pulaski County",0,9,0,0
"01-2015","078. Rappahannock County",0,2,0,0
"01-2015","079. Richmond County",0,0,0,0
"01-2015","080. Roanoke County",0,36,0,0
"01-2015","081. Rockbridge County",1,15,0,0
"01-2015","082. Rockingham County",1,32,1,0
"01-2015","083. Russell County",0,16,0,0
"01-2015","084. Scott County",0,8,0,0
"01-2015","085. Shenandoah County",0,8,0,0
"01-2015","086. Smyth County",0,16,0,0
"01-2015","087. Southampton County",0,9,0,2
"01-2015","088. Spotsylvania County",0,55,0,2
"01-2015","089. Stafford County",0,43,0,1
"01-2015","090. Surry County",0,3,0,0
"01-2015","091. Sussex County",0,2,0,0
"01-2015","092. Tazewell County",1,15,0,0
"01-2015","093. Warren County",1,25,0,0
"01-2015","095. Washington County",0,23,0,0
"01-2015","096. Westmoreland County",0,10,0,0
"01-2015","097. Wise County",0,11,0,0
"01-2015","098. Wythe County",1,10,0,0
"01-2015","099. York County",0,21,0,2
"01-2015","100. City of Alexandria",0,54,0,10
"01-2015","101. Town of Big Stone Gap",0,1,0,0
"01-2015","102. City of Bristol",0,10,0,0
"01-2015","103. City of Buena Vista",0,0,0,0
"01-2015","104. City of Charlottesville",0,38,0,3
"01-2015","105. Town of Clifton Forge",0,0,0,0
"01-2015","106. City of Colonial Heights",0,8,0,0
"01-2015","107. City of Covington",0,0,0,0
"01-2015","108. City of Danville",0,35,0,1
"01-2015","109. City of Emporia",0,5,0,0
"01-2015","110. City of Falls Church",0,16,0,1
"01-2015","111. City of Fredericksburg",0,42,0,2
"01-2015","112. Town of Front Royal",0,8,0,1
"01-2015","113. City of Galax",0,6,0,1
"01-2015","114. City of Hampton",1,99,1,6
"01-2015","115. City of Harrisonburg",0,21,0,1
"01-2015","116. City of Hopewell",0,41,0,2
"01-2015","117. City of Lexington",0,1,0,0
"01-2015","118. City of Lynchburg",0,33,0,1
"01-2015","120. City of Martinsville",0,8,0,0
"01-2015","121. City of Newport News",0,97,0,3
"01-2015","122. City of Norfolk",1,150,0,3
"01-2015","123. City of Petersburg",0,60,0,0
"01-2015","124. City of Portsmouth",0,77,0,3
"01-2015","125. Town of Pulaski",0,0,0,0
"01-2015","126. City of Radford",0,4,0,1
"01-2015","127. City of Richmond",0,179,0,8
"01-2015","128. City of Roanoke",3,61,0,5
"01-2015","129. City of Salem",0,9,0,0
"01-2015","130. Town of South Boston",0,4,0,0
"01-2015","131. City of Chesapeake",1,172,1,0
"01-2015","132. City of Staunton",1,30,0,0
"01-2015","133. City of Suffolk",2,75,0,3
"01-2015","134. City of Virginia Beach",3,224,1,11
"01-2015","136. City of Waynesboro",0,19,0,1
"01-2015","137. City of Williamsburg",0,8,0,0
"01-2015","138. City of Winchester",1,14,0,2
"01-2015","139. Town of Wytheville",0,0,0,0
"01-2015","140. Town of Abingdon",0,6,0,0
"01-2015","141. Town of Bedford",0,1,0,1
"01-2015","143. Town of Bluefield",0,4,0,0
"01-2015","144. Town of Farmville",0,9,0,2
"01-2015","145. City of Franklin",0,4,0,0
"01-2015","146. City of Norton",0,0,0,0
"01-2015","147. City of Poquoson",0,0,0,0
"01-2015","148. Town of Richlands",0,3,0,0
"01-2015","149. Town of Vinton",0,1,0,0
"01-2015","150. Town of Blacksburg",0,12,0,1
"01-2015","151. City of Fairfax",0,26,0,2
"01-2015","152. City of Manassas Park",0,0,0,0
"01-2015","153. Town of Vienna",0,6,0,0
"01-2015","154. Town of Christiansburg",0,15,0,0
"01-2015","155. City of Manassas",0,37,0,1
"01-2015","156. Town of Warrenton",0,6,0,0
"01-2015","157. Town of Rocky Mount",0,10,0,0
"01-2015","158. Town of Tazewell",0,10,0,0
"01-2015","159. Town of Luray",0,2,0,0
"01-2015","162. Town of Altavista",0,0,0,0
"01-2015","163. Town of Amherst",0,0,0,0
"01-2015","165. Town of Appomattox",0,7,0,0
"01-2015","166. Town of Ashland",0,8,0,0
"01-2015","168. Town of Berryville",0,0,0,0
"01-2015","171. Town of Bowling Green",0,2,0,0
"01-2015","173. Town of Boydton",0,0,0,0
"01-2015","176. Town of Bridgewater",0,0,0,0
"01-2015","177. Town of Broadway",0,1,0,0
"01-2015","182. Town of Cape Charles",0,0,0,0
"01-2015","183. Town of Capron",0,0,0,0
"01-2015","184. Town of Cedar Bluff",0,0,0,0
"01-2015","187. Town of Chatham",0,0,0,0
"01-2015","189. Town of Chilhowie",0,0,0,0
"01-2015","190. Town of Chincoteague",0,1,0,0
"01-2015","192. Town of Clarksville",0,0,0,0
"01-2015","196. Town of Clintwood",0,0,0,0
"01-2015","198. Town of Coeburn",0,3,0,0
"01-2015","199. Town of Colonial Beach",0,0,0,0
"01-2015","201. Town of Courtland",0,2,0,0
"01-2015","203. Town of Crewe",0,0,0,0
"01-2015","204. Town of Culpeper",0,11,0,0
"01-2015","205. Town of Damascus",0,0,0,0
"01-2015","206. Town of Dayton",0,3,0,0
"01-2015","210. Town of Dublin",0,0,0,0
"01-2015","211. Town of Duffield",0,1,0,0
"01-2015","212. Town of Dumfries",0,12,0,0
"01-2015","216. Town of Elkton",0,4,0,0
"01-2015","217. Town of Exmore",0,0,0,0
"01-2015","221. Town of Gate City",0,4,0,1
"01-2015","224. Town of Glen Lyn",0,0,0,0
"01-2015","225. Town of Gordonsville",0,0,0,0
"01-2015","226. Town of Goshen",0,1,0,0
"01-2015","228. Town of Grottoes",0,0,0,0
"01-2015","229. Town of Grundy",0,1,0,0
"01-2015","232. Town of Hamilton",0,0,0,0
"01-2015","233. Town of Haymarket",0,3,0,0
"01-2015","235. Town of Herndon",0,20,0,2
"01-2015","237. Town of Hillsville",0,0,0,0
"01-2015","245. Town of Jonesville",0,2,0,0
"01-2015","246. Town of Keller",0,0,0,0
"01-2015","247. Town of Kenbridge",0,0,0,0
"01-2015","248. Town of Keysville",0,0,0,0
"01-2015","249. Town of Kilmarnock",0,1,0,0
"01-2015","250. Town of LaCrosse",0,0,0,0
"01-2015","252. Town of Lebanon",0,0,0,0
"01-2015","253. Town of Leesburg",0,11,0,0
"01-2015","254. Town of Louisa",0,1,0,0
"01-2015","259. Town of Middleburg",0,1,0,0
"01-2015","261. Town of Mineral",0,0,0,0
"01-2015","265. Town of Mount Jackson",0,1,0,0
"01-2015","268. Town of New Castle",0,0,0,0
"01-2015","269. Town of New Market",0,0,0,0
"01-2015","272. Town of Occoquan",0,0,0,0
"01-2015","273. Town of Onancock",0,0,0,0
"01-2015","274. Town of Onley",0,0,0,0
"01-2015","275. Town of Orange",0,5,0,0
"01-2015","279. Town of Pearisburg",0,0,0,0
"01-2015","281. Town of Pennington Gap",0,3,0,0
"01-2015","286. Town of Purcellville",0,6,0,0
"01-2015","288. Town of Remington",0,1,0,0
"01-2015","290. Town of Ridgeway",0,2,0,0
"01-2015","291. Town of Round Hill",0,0,0,0
"01-2015","292. Town of Rural Retreat",0,1,0,0
"01-2015","298. Town of Scottsville",0,1,0,0
"01-2015","300. Town of Smithfield",0,4,0,0
"01-2015","301. Town of South Hill",0,6,0,0
"01-2015","303. Town of Stanley",0,0,0,0
"01-2015","304. Town of Stephens City",0,1,0,0
"01-2015","305. Town of Stony Creek",0,2,0,0
"01-2015","306. Town of Strasburg",0,0,0,0
"01-2015","310. Town of Tappahannock",0,3,0,1
"01-2015","321. Town of Warsaw",0,1,0,0
"01-2015","324. Town of Weber City",0,0,0,0
"01-2015","325. Town of West Point",0,0,0,0
"01-2015","327. Town of White Stone",0,0,0,0
"01-2015","328. Town of Windsor",0,2,0,0
"01-2015","329. Town of Wise",0,1,0,0
"01-2015","330. Town of Woodstock",0,3,0,0
"01-2016","000. Arlington County",0,80,0,10
"01-2016","001. Accomack County",0,7,0,1
"01-2016","002. Albemarle County",0,59,0,0
"01-2016","003. Alleghany County",1,3,0,0
"01-2016","004. Amelia County",1,5,1,0
"01-2016","005. Amherst County",0,14,0,0
"01-2016","006. Appomattox County",0,5,0,0
"01-2016","007. Augusta County",1,28,0,1
"01-2016","008. Bath County",0,2,0,0
"01-2016","009. Bedford County",1,41,0,0
"01-2016","010. Bland County",0,5,0,0
"01-2016","011. Botetourt County",0,22,0,0
"01-2016","012. Brunswick County",0,12,0,0
"01-2016","013. Buchanan County",0,15,0,0
"01-2016","014. Buckingham County",0,1,0,0
"01-2016","015. Campbell County",0,19,0,1
"01-2016","016. Caroline County",0,13,0,0
"01-2016","017. Carroll County",0,17,0,0
"01-2016","018. Charles City County",0,1,0,0
"01-2016","019. Charlotte County",0,4,0,0
"01-2016","020. Chesterfield County",3,167,0,4
"01-2016","021. Clarke County",0,8,0,0
"01-2016","022. Craig County",0,3,0,0
"01-2016","023. Culpeper County",0,38,0,0
"01-2016","024. Cumberland County",0,3,0,0
"01-2016","025. Dickenson County",0,6,0,0
"01-2016","026. Dinwiddie County",0,10,0,2
"01-2016","028. Essex County",0,4,0,0
"01-2016","029. Fairfax County",1,524,1,14
"01-2016","030. Fauquier County",1,46,0,1
"01-2016","031. Floyd County",0,4,0,0
"01-2016","032. Fluvanna County",0,7,0,0
"01-2016","033. Franklin County",3,24,0,0
"01-2016","034. Frederick County",0,36,0,0
"01-2016","035. Giles County",0,8,0,0
"01-2016","036. Gloucester County",1,28,1,1
"01-2016","037. Goochland County",1,15,0,0
"01-2016","038. Grayson County",1,4,0,0
"01-2016","039. Greene County",0,9,0,0
"01-2016","040. Greensville County",1,0,1,0
"01-2016","041. Halifax County",1,12,0,0
"01-2016","042. Hanover County",0,56,0,0
"01-2016","043. Henrico County",1,199,0,5
"01-2016","044. Henry County",0,27,0,0
"01-2016","045. Highland County",0,3,0,0
"01-2016","046. Isle of Wight County",0,15,0,1
"01-2016","047. James City County",0,20,0,0
"01-2016","048. King George County",0,11,0,0
"01-2016","049. King & Queen County",0,9,0,0
"01-2016","050. King William County",0,4,0,0
"01-2016","051. Lancaster County",1,4,0,0
"01-2016","052. Lee County",0,15,0,0
"01-2016","053. Loudoun County",1,136,0,2
"01-2016","054. Louisa County",0,21,0,0
"01-2016","055. Lunenburg County",0,6,0,0
"01-2016","056. Madison County",1,8,0,0
"01-2016","057. Mathews County",0,7,0,0
"01-2016","058. Mecklenburg County",0,3,0,0
"01-2016","059. Middlesex County",0,5,0,0
"01-2016","060. Montgomery County",0,24,0,0
"01-2016","062. Nelson County",0,9,0,0
"01-2016","063. New Kent County",0,18,0,0
"01-2016","065. Northampton County",0,5,0,0
"01-2016","066. Northumberland County",0,3,0,0
"01-2016","067. Nottoway County",0,7,0,0
"01-2016","068. Orange County",0,13,0,0
"01-2016","069. Page County",0,7,0,0
"01-2016","070. Patrick County",0,2,0,0
"01-2016","071. Pittsylvania County",1,19,0,0
"01-2016","072. Powhatan County",0,6,0,0
"01-2016","073. Prince Edward County",1,5,0,0
"01-2016","074. Prince George County",1,15,0,1
"01-2016","076. Prince William County",2,149,0,11
"01-2016","077. Pulaski County",0,12,0,0
"01-2016","078. Rappahannock County",0,10,0,0
"01-2016","079. Richmond County",0,2,0,0
"01-2016","080. Roanoke County",0,33,0,0
"01-2016","081. Rockbridge County",0,10,0,0
"01-2016","082. Rockingham County",0,30,0,0
"01-2016","083. Russell County",0,12,0,0
"01-2016","084. Scott County",0,15,0,1
"01-2016","085. Shenandoah County",0,12,0,0
"01-2016","086. Smyth County",0,11,0,1
"01-2016","087. Southampton County",0,14,0,0
"01-2016","088. Spotsylvania County",1,58,1,1
"01-2016","089. Stafford County",1,30,0,1
"01-2016","090. Surry County",1,10,0,0
"01-2016","091. Sussex County",1,8,0,0
"01-2016","092. Tazewell County",0,14,0,0
"01-2016","093. Warren County",0,27,0,0
"01-2016","095. Washington County",0,19,0,0
"01-2016","096. Westmoreland County",0,1,0,0
"01-2016","097. Wise County",0,19,0,0
"01-2016","098. Wythe County",0,17,0,0
"01-2016","099. York County",0,31,0,1
"01-2016","100. City of Alexandria",0,43,0,5
"01-2016","101. Town of Big Stone Gap",0,1,0,0
"01-2016","102. City of Bristol",0,8,0,0
"01-2016","103. City of Buena Vista",0,0,0,0
"01-2016","104. City of Charlottesville",0,20,0,1
"01-2016","105. Town of Clifton Forge",0,2,0,0
"01-2016","106. City of Colonial Heights",1,8,0,0
"01-2016","107. City of Covington",0,2,0,0
"01-2016","108. City of Danville",1,37,0,1
"01-2016","109. City of Emporia",0,4,0,1
"01-2016","110. City of Falls Church",0,4,0,0
"01-2016","111. City of Fredericksburg",0,55,0,5
"01-2016","112. Town of Front Royal",0,2,0,0
"01-2016","113. City of Galax",0,3,0,0
"01-2016","114. City of Hampton",0,177,0,5
"01-2016","115. City of Harrisonburg",0,20,0,0
"01-2016","116. City of Hopewell",0,35,0,1
"01-2016","117. City of Lexington",0,1,0,0
"01-2016","118. City of Lynchburg",0,41,0,1
"01-2016","119. Town of Marion",0,2,0,0
"01-2016","120. City of Martinsville",0,13,0,1
"01-2016","121. City of Newport News",0,173,0,3
"01-2016","122. City of Norfolk",1,140,0,3
"01-2016","123. City of Petersburg",0,34,0,0
"01-2016","124. City of Portsmouth",2,67,1,0
"01-2016","125. Town of Pulaski",0,1,0,0
"01-2016","126. City of Radford",0,1,0,0
"01-2016","127. City of Richmond",1,169,0,9
"01-2016","128. City of Roanoke",0,47,0,2
"01-2016","129. City of Salem",0,22,0,1
"01-2016","130. Town of South Boston",0,7,0,0
"01-2016","131. City of Chesapeake",2,114,0,1
"01-2016","132. City of Staunton",1,34,0,3
"01-2016","133. City of Suffolk",0,101,0,0
"01-2016","134. City of Virginia Beach",2,225,0,7
"01-2016","136. City of Waynesboro",0,11,0,0
"01-2016","137. City of Williamsburg",0,5,0,0
"01-2016","138. City of Winchester",0,11,0,2
"01-2016","139. Town of Wytheville",2,5,1,0
"01-2016","140. Town of Abingdon",0,11,0,0
"01-2016","141. Town of Bedford",0,3,0,0
"01-2016","142. Town of Blackstone",0,0,0,0
"01-2016","143. Town of Bluefield",0,2,0,0
"01-2016","144. Town of Farmville",0,1,0,0
"01-2016","145. City of Franklin",1,8,0,0
"01-2016","146. City of Norton",0,2,0,0
"01-2016","147. City of Poquoson",0,8,0,0
"01-2016","148. Town of Richlands",0,1,0,0
"01-2016","149. Town of Vinton",0,7,0,0
"01-2016","150. Town of Blacksburg",0,16,0,0
"01-2016","151. City of Fairfax",1,30,0,0
"01-2016","152. City of Manassas Park",0,2,0,0
"01-2016","153. Town of Vienna",0,5,0,1
"01-2016","154. Town of Christiansburg",1,21,0,0
"01-2016","155. City of Manassas",0,51,0,0
"01-2016","156. Town of Warrenton",0,11,0,0
"01-2016","157. Town of Rocky Mount",0,5,0,0
"01-2016","158. Town of Tazewell",0,6,0,0
"01-2016","159. Town of Luray",0,4,0,1
"01-2016","162. Town of Altavista",0,0,0,0
"01-2016","163. Town of Amherst",0,0,0,0
"01-2016","164. Town of Appalachia",0,0,0,0
"01-2016","165. Town of Appomattox",0,4,0,0
"01-2016","166. Town of Ashland",0,4,0,0
"01-2016","168. Town of Berryville",0,0,0,0
"01-2016","169. Town of Bloxom",0,1,0,0
"01-2016","170. Town of Boones Mill",0,4,0,0
"01-2016","171. Town of Bowling Green",0,0,0,0
"01-2016","176. Town of Bridgewater",0,3,0,1
"01-2016","177. Town of Broadway",0,0,0,0
"01-2016","180. Town of Buchanan",0,1,0,0
"01-2016","181. Town of Burkeville",0,0,0,0
"01-2016","182. Town of Cape Charles",0,1,0,0
"01-2016","187. Town of Chatham",0,0,0,0
"01-2016","189. Town of Chilhowie",0,2,0,0
"01-2016","190. Town of Chincoteague",0,0,0,0
"01-2016","193. Town of Cleveland",0,0,0,0
"01-2016","194. Town of Clifton",0,0,0,0
"01-2016","195. Town of Clinchport",0,1,0,0
"01-2016","196. Town of Clintwood",0,0,0,0
"01-2016","198. Town of Coeburn",0,2,0,0
"01-2016","199. Town of Colonial Beach",0,0,0,0
"01-2016","203. Town of Crewe",0,0,0,0
"01-2016","204. Town of Culpeper",0,21,0,1
"01-2016","206. Town of Dayton",0,0,0,0
"01-2016","210. Town of Dublin",0,1,0,0
"01-2016","211. Town of Duffield",0,1,0,0
"01-2016","212. Town of Dumfries",0,2,0,0
"01-2016","216. Town of Elkton",0,0,0,0
"01-2016","217. Town of Exmore",0,9,0,0
"01-2016","219. Town of Floyd",0,1,0,0
"01-2016","220. Town of Fries",0,0,0,0
"01-2016","221. Town of Gate City",0,1,0,0
"01-2016","222. Town of Glade Spring",0,0,0,0
"01-2016","225. Town of Gordonsville",0,0,0,0
"01-2016","227. Town of Gretna",0,1,0,0
"01-2016","229. Town of Grundy",0,0,0,0
"01-2016","230. Town of Halifax",0,3,0,0
"01-2016","232. Town of Hamilton",0,0,0,0
"01-2016","233. Town of Haymarket",0,0,0,0
"01-2016","234. Town of Haysi",0,0,0,0
"01-2016","235. Town of Herndon",1,47,0,1
"01-2016","237. Town of Hillsville",0,1,0,0
"01-2016","240. Town of Independence",0,1,0,0
"01-2016","244. Town of Jarratt",0,0,0,0
"01-2016","245. Town of Jonesville",0,1,0,0
"01-2016","246. Town of Keller",0,2,0,0
"01-2016","249. Town of Kilmarnock",0,0,0,0
"01-2016","250. Town of LaCrosse",0,0,0,0
"01-2016","251. Town of Lawrenceville",0,0,0,0
"01-2016","252. Town of Lebanon",0,0,0,0
"01-2016","253. Town of Leesburg",0,27,0,0
"01-2016","254. Town of Louisa",0,0,0,0
"01-2016","258. Town of Melfa",0,0,0,0
"01-2016","260. Town of Middletown",0,0,0,0
"01-2016","265. Town of Mount Jackson",0,7,0,0
"01-2016","267. Town of Nassawadox",0,0,0,0
"01-2016","269. Town of New Market",0,0,0,0
"01-2016","271. Town of Nickelsville",0,0,0,0
"01-2016","273. Town of Onancock",0,0,0,0
"01-2016","274. Town of Onley",0,2,0,0
"01-2016","276. Town of Painter",0,0,0,0
"01-2016","279. Town of Pearisburg",0,0,0,0
"01-2016","281. Town of Pennington Gap",0,5,0,0
"01-2016","286. Town of Purcellville",0,9,0,0
"01-2016","288. Town of Remington",0,3,0,0
"01-2016","289. Town of Rich Creek",0,0,0,0
"01-2016","293. Town of St. Charles",0,0,0,0
"01-2016","294. Town of Saint Paul",0,0,0,0
"01-2016","300. Town of Smithfield",0,9,0,0
"01-2016","301. Town of South Hill",0,1,0,0
"01-2016","303. Town of Stanley",0,1,0,0
"01-2016","304. Town of Stephens City",0,1,0,0
"01-2016","306. Town of Strasburg",0,0,0,0
"01-2016","310. Town of Tappahannock",0,4,0,0
"01-2016","311. Town of The Plains",0,0,0,0
"01-2016","313. Town of Toms Brook",0,0,0,0
"01-2016","314. Town of Troutdale",0,0,0,0
"01-2016","320. Town of Wakefield",0,1,0,0
"01-2016","321. Town of Warsaw",0,3,0,0
"01-2016","322. Town of Washington",0,0,0,0
"01-2016","324. Town of Weber City",0,1,0,0
"01-2016","325. Town of West Point",0,3,0,0
"01-2016","328. Town of Windsor",0,1,0,0
"01-2016","329. Town of Wise",0,2,0,0
"01-2016","330. Town of Woodstock",0,1,0,0
"01-2016","331. Town of Hurt",0,0,0,0
"01-2017","000. Arlington County",0,69,0,10
"01-2017","001. Accomack County",1,20,0,0
"01-2017","002. Albemarle County",0,68,0,3
"01-2017","003. Alleghany County",0,7,0,0
"01-2017","004. Amelia County",1,4,0,0
"01-2017","005. Amherst County",0,14,0,0
"01-2017","006. Appomattox County",0,9,0,0
"01-2017","007. Augusta County",1,35,0,0
"01-2017","008. Bath County",0,2,0,0
"01-2017","009. Bedford County",1,36,0,0
"01-2017","010. Bland County",0,2,0,0
"01-2017","011. Botetourt County",0,12,0,1
"01-2017","012. Brunswick County",1,14,1,0
"01-2017","013. Buchanan County",0,10,0,0
"01-2017","014. Buckingham County",0,13,0,0
"01-2017","015. Campbell County",0,12,0,0
"01-2017","016. Caroline County",0,13,0,0
"01-2017","017. Carroll County",0,14,0,0
"01-2017","018. Charles City County",0,4,0,0
"01-2017","019. Charlotte County",0,5,0,0
"01-2017","020. Chesterfield County",1,151,1,3
"01-2017","021. Clarke County",0,2,0,0
"01-2017","022. Craig County",0,1,0,0
"01-2017","023. Culpeper County",0,32,0,0
"01-2017","024. Cumberland County",0,8,0,0
"01-2017","025. Dickenson County",0,7,0,0
"01-2017","026. Dinwiddie County",0,55,0,0
"01-2017","028. Essex County",0,1,0,0
"01-2017","029. Fairfax County",3,516,0,17
"01-2017","030. Fauquier County",0,41,0,1
"01-2017","031. Floyd County",0,2,0,0
"01-2017","032. Fluvanna County",3,11,0,2
"01-2017","033. Franklin County",0,27,0,0
"01-2017","034. Frederick County",0,23,0,1
"01-2017","035. Giles County",0,7,0,0
"01-2017","036. Gloucester County",0,27,0,0
"01-2017","037. Goochland County",0,20,0,0
"01-2017","038. Grayson County",0,5,0,0
"01-2017","039. Greene County",1,15,0,0
"01-2017","040. Greensville County",0,7,0,0
"01-2017","041. Halifax County",0,9,0,1
"01-2017","042. Hanover County",0,56,0,2
"01-2017","043. Henrico County",1,220,1,5
"01-2017","044. Henry County",1,19,0,0
"01-2017","045. Highland County",0,1,0,0
"01-2017","046. Isle of Wight County",0,13,0,1
"01-2017","047. James City County",3,29,0,1
"01-2017","048. King George County",1,8,0,0
"01-2017","049. King & Queen County",0,2,0,0
"01-2017","050. King William County",0,3,0,0
"01-2017","051. Lancaster County",0,3,0,0
"01-2017","052. Lee County",1,8,0,0
"01-2017","053. Loudoun County",3,157,0,4
"01-2017","054. Louisa County",1,20,0,0
"01-2017","055. Lunenburg County",0,3,0,1
"01-2017","056. Madison County",0,9,0,0
"01-2017","057. Mathews County",1,6,0,0
"01-2017","058. Mecklenburg County",0,8,0,1
"01-2017","059. Middlesex County",0,8,0,0
"01-2017","060. Montgomery County",1,25,0,0
"01-2017","062. Nelson County",0,10,0,0
"01-2017","063. New Kent County",0,9,0,0
"01-2017","065. Northampton County",0,1,0,0
"01-2017","066. Northumberland County",0,1,0,0
"01-2017","067. Nottoway County",1,2,0,0
"01-2017","068. Orange County",0,11,0,0
"01-2017","069. Page County",1,7,0,0
"01-2017","070. Patrick County",0,1,0,0
"01-2017","071. Pittsylvania County",0,22,0,0
"01-2017","072. Powhatan County",0,28,0,0
"01-2017","073. Prince Edward County",1,10,0,0
"01-2017","074. Prince George County",1,15,0,0
"01-2017","076. Prince William County",1,182,1,1
"01-2017","077. Pulaski County",0,13,0,0
"01-2017","078. Rappahannock County",0,4,0,0
"01-2017","079. Richmond County",1,2,0,0
"01-2017","080. Roanoke County",1,34,0,0
"01-2017","081. Rockbridge County",0,14,0,0
"01-2017","082. Rockingham County",0,33,0,0
"01-2017","083. Russell County",1,12,0,0
"01-2017","084. Scott County",0,17,0,0
"01-2017","085. Shenandoah County",0,13,0,0
"01-2017","086. Smyth County",0,14,0,1
"01-2017","087. Southampton County",0,6,0,0
"01-2017","088. Spotsylvania County",2,86,0,1
"01-2017","089. Stafford County",1,49,0,1
"01-2017","090. Surry County",0,4,0,0
"01-2017","091. Sussex County",0,12,0,0
"01-2017","092. Tazewell County",0,8,0,0
"01-2017","093. Warren County",0,6,0,0
"01-2017","095. Washington County",1,29,1,0
"01-2017","096. Westmoreland County",0,9,0,1
"01-2017","097. Wise County",0,7,0,1
"01-2017","098. Wythe County",1,18,0,0
"01-2017","099. York County",0,26,0,0
"01-2017","100. City of Alexandria",0,39,0,7
"01-2017","101. Town of Big Stone Gap",0,9,0,0
"01-2017","102. City of Bristol",0,4,0,0
"01-2017","104. City of Charlottesville",0,21,0,1
"01-2017","105. Town of Clifton Forge",0,1,0,0
"01-2017","106. City of Colonial Heights",0,11,0,0
"01-2017","107. City of Covington",0,1,0,0
"01-2017","108. City of Danville",0,46,0,0
"01-2017","109. City of Emporia",0,3,0,0
"01-2017","110. City of Falls Church",0,15,0,3
"01-2017","111. City of Fredericksburg",0,68,0,2
"01-2017","112. Town of Front Royal",2,7,2,0
"01-2017","113. City of Galax",0,3,0,0
"01-2017","114. City of Hampton",1,189,1,3
"01-2017","115. City of Harrisonburg",0,33,0,5
"01-2017","116. City of Hopewell",0,32,0,1
"01-2017","117. City of Lexington",0,0,0,0
"01-2017","118. City of Lynchburg",0,31,0,2
"01-2017","119. Town of Marion",0,0,0,0
"01-2017","120. City of Martinsville",0,4,0,0
"01-2017","121. City of Newport News",2,155,0,5
"01-2017","122. City of Norfolk",0,187,0,8
"01-2017","123. City of Petersburg",1,41,0,1
"01-2017","124. City of Portsmouth",0,89,0,3
"01-2017","125. Town of Pulaski",0,4,0,0
"01-2017","126. City of Radford",0,4,0,0
